star        f6cm_lo f6cm_hi  hi_is_limit spectraltype distance   mass  luminosity  
9sgr        1       2.5      0           O4V          1.4        98    6.19
CygOB2_9    0.7     8.1      0           O5f          1.82       160   6.61
HD168112    1.3     5.4      0           O5III        1.9        78    6.06
CygOB2_8A   0.4     1.0      0           O6Ib         1.82       98    6.30
HD167971    13.8    17.0     0           O7.5f        1.99       50    5.86
HD15558     0.3     0.5      0           O5III        2.18       96    6.22
CygOB2_7    0       0.4      1           O3If         1.82       134   6.40
HD15570     0       0.2      1           O4f          1.58       133   6.44
HD166734    0.0     0.5      0           O7If         2.3        83    6.32
HD151804    0.0     0.4      0           O8If         1.90       66    6.10
ZetaPup     1.3     1.4      0           O4f          0.45       61    5.94
HD152408    1.0     1.1      0           O8Ifp        1.90       57    5.99
PCyg        1.6     6.7      0           B1Ia         1.82       56    6.07 
ZetaSco     1.2     2.0      0           B1Ia         1.90       73    6.24
HD169454    1.0     1.1      0           B1Ia         1.66       45    5.99
CygOB2_12   2.2     3.4      0           B8Ia         1.82       71    6.21
CygOB2_22AB 0.0     0.3      1           O4f          1.82       138   6.46
HD192281    0.0     0.2      1           O5V          2.29       93    6.19
CygOB2_8B   0.0     0.2      1           O5f          1.82       81    6.09
CygOB2_8C   0.0     0.2      1           O5III        1.82       91    6.18
