#n  Usual_ID    Sptype          mdot        Vinf    P_kin   Snu     wl  alpha   Ref.    L_rad
#_  _           _               msun/yr     km/s    erg/s   mJy     cm  _       _       erg/s
1   HD_15558    O5.5III(f)      1.4e-6      2900    3.7e36  0.5     6.0 nan     1       9.4e28
2   deltaOri_A  O9.5II          2.3e-7      2800    5.7e35  0.37    6.0 nan     1       2.2e27
3   sigmaOri_AB O9.5V           1.6e-8      2300    2.7e34  1.78    6.0 -0.4    2       9.4e27
4   15_Mon      O7V(f)          4.6e-8      2500    9.1e34  0.4     6.0 nan     2       1.3e28
5   WR_8        WN7             8.0e-5      1200    3.6e37  0.22    6.0 0.17    2       1.1e29
6   WR_11       WC8             1.6e-5      1800    1.6e37  26.5    6.0 0.3     3       1.5e29
7   WR_14       WC7             1.6e-5      2000    2.0e37  0.46    6.0 -0.82   3       4.7e28
8   CD-47_4551  O5If            2.7e-6      3000    7.7e36  2.98    6.0 -0.75   4       1.3e29
9   WR_21a      O3If*/WN6ha     1.3e-5      2200    2.0e37  0.25    6.0 nan     5       8.0e28
10  HD_93129A   O2If*           5.0e-6      3300    1.7e37  4.1     6.0 -1.04   6       4.5e29
11  HD_93250    O4III           2.9e-6      2900    7.7e36  1.36    3.6 nan     7       2.7e29
12  etaCar      LBV?            2.5e-4      600     2.8e37  nan     nan nan     999     nan
13  WR_39       WC7             1.6e-5      2000    2.0e37  0.87    6.0 -0.31   8       8.1e29
14  WR_48       WC5             2.4e-5      2800    5.9e37  2.06    6.0 -0.33   8       3.3e29
15  HD_124314   O6V(n)((f))     4.1e-7      2600    8.7e35  4.14    6.0 -0.64   9       1.1e29
16  HD_150136   O3-3.5V((f+))   2.3e-6      2700    5.3e36  5.57    6.0 -1.29   9       3.2e29
17  HD_151804   O8Iaf           8.7e-7      2400    1.6e36  0.8     6.0 -0.18   10      6.9e28
18  WR_78       WN7h            6.3e-5      1200    2.9e37  1.1     6.0 0.31    10      1.3e29
19  WR_79a      WN9ha           2.5e-5      900     6.4e36  0.8     6.0 0.31    10      9.8e28
20  HD_152623   O7V((f))        4.6e-8      2500    9.1e34  0.5     6.0 -0.94   10      3.4e28
21  WR_89       WN8h            8.0e-5      1600    6.5e37  2.0     3.6 nan     11      7.7e29
22  WR_90       WC7             1.6e-5      2000    2.0e37  1.09    6.0 -0.01   8       1.0e29
23  WR_98       WN7/WC          6.3e-5      2100    8.8e37  0.94    6.0 0.26    2       1.5e29
24  WR_98a      WC9             1.6e-5      1400    9.9e36  0.62    3.6 0.05    12      8.1e28
25  WR_104      WC9             1.6e-5      1400    9.9e36  0.87    3.6 0.28    12      8.9e28
26  WR_105      WN9h            6.3e-5      700     9.7e36  4.39    6.0 -0.3    3       3.1e29
27  9_Sgr       O3.5V((f+))     1.9e-6      2700    4.4e36  2.8     6.0 -1.10   13      2.0e29
28  WR_112      WC9             1.6e-5      1400    9.9e36  4.07    3.6 0.13    12      2.6e30
29  HD_167971   O8I             8.7e-7      2400    2.0e36  17.1    6.0 -0.48   14      1.3e30
30  HD_168112   O5.5III(f+)     1.4e-6      2900    3.7e36  5.64    6.0 -0.78   15      4.1e29
31  CEN_1a      O4V             1.5e-6      2600    3.2e36  2.69    6.0 -0.08   16      3.9e29
32  CEN_1b      O4V             1.5e-6      2600    3.2e36  1.15    6.0 -0.68   16      1.3e29
33  WR_125      WC7             1.6e-5      2000    2.0e37  1.5     6.0 -0.57   17      1.5e29
34  HD_190603   B1.5Ia          2.0e-6      500     1.6e35  0.6     6.0 nan     18      4.8e28
35  WR_133      WN5             4.0e-5      1400    2.5e37  0.38    6.0 -0.65   2       4.4e28
36  WR_137      WC7             1.6e-5      2000    2.0e37  nan     nan 0.0     19      nan
37  WR_140      WC7             2.0e-5      3100    6.1e37  26.8    6.0 -0.27   20      2.6e30
38  Cyg_OB2_#5  Ofpe/WN9        1.3e-5      2000    1.6e37  2.98    6.0 -0.06   21      2.9e29
39  Cyg_OB2_#9  O5I             2.7e-6      3000    7.7e36  6.2     6.0 -0.38   22      4.9e29
40  Cyg_OB2_#8A O6If            1.8e-6      3000    5.1e36  1.33    6.0 -0.22   23      1.2e29
41  Cyg_OB2-335 O7V             4.6e-8      2500    9.1e34  1.3     6.0 -0.8    24      9.6e28
42  WR_146      WC6             2.5e-5      2300    4.2e37  33      6.0 -0.6    25      1.2e30
43  WR_147      WN8             5.0e-5      1000    1.6e37  38      6.0 0.05    26      6.0e29
