Source     |Wavelength |RA_B1950    |Declination_B1950|RA_J2000      |Dec_J2000       |K
IRS 2 EAST |2.2 um     |19:21:22.53 |+14:25:13.3      |19h23m40.1773s|+14d31m06.455s  |9.60 
H2O        |1.3 cm     |19:21:22.40 |+14:25:12.9      |19h23m40.0474s|+14d31m06.0462s |---
IRS 2 WEST |2.2 um     |19:21:22.28 |+14:25:15.0      |19h23m39.9267s|+14d31m08.138s  |---
W51 D      |2 cm       |19:21:22.27 |+14:25:15.0      |19h23m39.9167s|+14d31m08.1373s |--- 
IRS 3      |2.2 um     |19:21:25.61 |+14:24:57.0      |19h23m43.2639s|+14d30m50.3653s |12.29
RS 1       |2.2 um     |19:21:26.95 |+14:24:02.8      |19h23m44.622s |+14d29m56.2574s |12.78
RS 2       |2.2 um     |19:21:26.08 |+14:24:55.8      |19h23m43.7345s|+14d30m49.1974s |13.99
RS 3       |2.2 um     |19:21:25.94 |+14:24:26.0      |19h23m43.6041s|+14d30m19.3882s |13.99
RS4        |2.2 um     |19:21:25.40 |+14:24:24.3      |19h23m43.0644s|+14d30m17.6514s |13.55
RS 5       |2.2 um     |19:21:25.31 |+14:24:36.5      |19h23m42.9704s|+14d30m29.8451s |12.79
RS 6       |2.2 um     |19:21:25.29 |+14:24:19.5      |19h23m42.9559s|+14d30m12.8439s |12.18
RS 7       |2.2 um     |19:21:25.28 |+14:24:34.6      |19h23m42.941s |+14d30m27.9431s |11.26
RS 8       |2.2 um     |19:21:25.19 |+14:24:34.6      |19h23m42.851s |+14d30m27.9369s |12.43
RS 9       |2.2 um     |19:21:24.99 |+14:24:54.5      |19h23m42.6445s|+14d30m47.8231s |13.22
RS 10      |2.2 um     |19:21:24.84 |+14:24:47.7      |19h23m42.4966s|+14d30m41.0129s |13.14
RS 11      |2.2 um     |19:21:24.76 |+14:24:55.5      |19h23m42.4141s|+14d30m48.8074s |13.87
RS 12      |2.2 um     |19:21:24.39 |+14:24:43.7      |19h23m42.0477s|+14d30m36.9823s |13.04
RS 13      |2.2 um     |19:21:23.94 |+14:24:56.4      |19h23m41.5934s|+14d30m49.6514s |12.66
RS 14      |2.2 um     |19:21:23.35 |+14:25:17.5      |19h23m40.9963s|+14d31m10.7109s |13.35
RS 15      |2.2 um     |19:21:23.32 |+14:25:13.5      |19h23m40.9676s|+14d31m06.7089s |13.69
RS 16      |2.2 um     |19:21:22.94 |+14:25:00.0      |19h23m40.5918s|+14d30m53.1832s |12.82
